City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
298,tautira,-17.7333,-149.15,26.74,78,26,7.12,PF,1675699760
299,borogontsy,62.6683,131.1683,-42.64,100,100,1.02,RU,1675699760
300,cayenne,4.9333,-52.3333,28.02,74,75,8.23,GF,1675699625
301,kaniama,-7.5667,24.1833,23.8,81,73,2.21,CD,1675699761
302,djambala,-2.5447,14.7533,26.12,58,88,2.79,CG,1675699761
303,nicoya,10.1483,-85.452,30.26,48,0,8.75,CR,1675699762
304,pa sang,18.5262,98.9394,26.11,14,2,1.24,TH,1675699762
305,borgarnes,64.5383,-21.9206,2.03,76,100,12.49,IS,1675699762
306,abu samrah,35.3029,37.1841,6.21,84,71,13.75,SY,1675699763
307,samarai,-10.6167,150.6667,25.45,90,100,4.71,PG,1675699763
308,mount darwin,-16.7725,31.5838,22.72,84,70,1.13,ZW,1675699764
309,adrar,20.5022,-10.0711,24.64,14,77,2.25,MR,1675699765
310,bodden town,19.2833,-81.25,28.33,73,40,5.66,KY,1675699765
311,sur,22.5667,59.5289,22.05,64,51,0.41,OM,1675699765
312,manyana,-23.4,21.7167,31.16,30,100,3.82,BW,1675699766
313,holbeach,52.804,0.0144,8.34,65,0,5.14,GB,1675699766
314,awjilah,29.1081,21.2869,13.45,46,79,7.61,LY,1675699767
315,mahanoro,-19.9,48.8,23.94,91,100,2.12,MG,1675699767
316,akdepe,42.0551,59.3788,5.41,51,84,6.14,TM,1675699768
317,iracoubo,5.4802,-53.2011,26.05,85,90,5.11,GF,1675699768
318,paducah,37.0834,-88.6001,11.45,73,0,3.6,US,1675699732
319,tomatlan,19.9333,-105.25,26.72,34,0,0.69,MX,1675699769
320,karatsu,33.4425,129.9697,6.62,70,100,2.63,JP,1675699769
321,svetlogorsk,52.6333,29.7333,-4.93,89,100,3.27,BY,1675699770
322,port macquarie,-31.4333,152.9167,19.38,85,24,1.91,AU,1675699564
323,hirara,24.8,125.2833,21.28,82,100,5.76,JP,1675699770
324,shaunavon,49.6501,-108.4181,-3.01,84,9,8.53,CA,1675699771
325,maceio,-9.6658,-35.7353,28.69,78,75,5.14,BR,1675699522
326,panama city,8.9936,-79.5197,31.76,61,20,6.69,PA,1675698938
327,terrace,54.5163,-128.6035,1.95,100,100,8.75,CA,1675699688
328,kita,13.0349,-9.4895,37.85,8,96,0.84,ML,1675699771
329,ubaira,-13.2681,-39.6628,34.13,32,56,2.14,BR,1675699772
330,marysville,48.0518,-122.1771,7.27,94,100,5.66,US,1675699401
331,atar,20.5169,-13.0499,26.06,14,5,3.78,MR,1675699619
332,malabo,3.75,8.7833,28.45,73,39,4.09,GQ,1675699773
333,kununurra,-15.7667,128.7333,23.99,83,13,1.03,AU,1675699774
334,verkhnyaya pyshma,56.9667,60.5808,-8.31,97,100,1.4,RU,1675699774
335,angoche,-16.2325,39.9086,24.15,96,100,1.08,MZ,1675699775
336,passo de camaragibe,-9.2368,-35.4901,28.75,74,89,4.05,BR,1675699775
337,tazovskiy,67.4667,78.7,-28.03,100,80,2.49,RU,1675699775
338,porto novo,6.4965,2.6036,30.29,63,100,5.32,BJ,1675699776
339,honiara,-9.4333,159.95,24.99,92,100,2.45,SB,1675699776
340,neiafu,-18.65,-173.9833,26.38,89,40,4.12,TO,1675699777
341,ler,8.3018,30.1418,34.44,13,19,2.42,SS,1675699777
342,nabire,-3.3667,135.4833,24.1,92,100,1.73,ID,1675699777
343,jalu,29.0331,21.5482,13.66,44,79,7.95,LY,1675699778
344,sawtell,-30.3833,153.1,22.01,78,100,2.57,AU,1675699778
345,dagana,16.5165,-15.5068,30.18,11,42,6.17,MR,1675699779
346,comodoro rivadavia,-45.8667,-67.5,23.92,25,0,6.17,AR,1675699399
347,hannibal,39.7084,-91.3585,7.53,61,0,4.63,US,1675699677
348,mwene-ditu,-7.0,23.45,23.58,76,86,2.44,CD,1675699779
349,songjianghe,42.1859,127.479,-17.53,98,9,1.32,CN,1675699780
350,bushehr,28.9684,50.8385,19.42,67,100,5.59,IR,1675699780
351,yumen,40.2833,97.2,-2.43,43,64,2.71,CN,1675699781
352,ozernovskiy,51.5,156.5167,-5.0,90,100,0.91,RU,1675699781
353,san cristobal,7.7669,-72.225,26.1,53,84,3.51,VE,1675699781
354,coahuayana,18.7333,-103.6833,28.1,37,2,1.15,MX,1675699782
355,malatya,38.5,38.0,0.16,100,100,0.59,TR,1675699782
356,otane,-39.8833,176.6333,18.34,86,19,1.03,NZ,1675699782
357,avanigadda,16.0215,80.9181,20.88,83,63,2.22,IN,1675699783
358,south venice,27.0531,-82.4243,24.04,55,0,5.14,US,1675699783
359,port lincoln,-34.7333,135.8667,16.75,83,0,6.81,AU,1675699784
360,iquitos,-3.7481,-73.2472,27.02,89,75,1.54,PE,1675699692
361,insar,53.8653,44.3738,-17.55,100,53,2.13,RU,1675699784
362,saint-georges,12.0564,-61.7485,25.78,75,100,7.88,GD,1675699728
363,roald,62.5833,6.1333,9.08,66,75,7.72,NO,1675699785
364,sabha,27.0377,14.4283,16.12,38,49,3.34,LY,1675699785
365,hailey,43.5196,-114.3153,-7.28,92,75,2.57,US,1675699631
